date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:26	1154079/1154079	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:17:22%20GMT	https://www.harenamanasoa.org/janvier2018	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/janvier2018.html	(from https://www.harenamanasoa.org/)
20:17:27	480466/480466	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:17:23%20GMT	https://www.harenamanasoa.org/contacts	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/contacts.html	(from https://www.harenamanasoa.org/)
20:17:27	4559/4559	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202023%2019:17:24%20GMT	https://static.wixstatic.com/media/1c6356_d2c1b5067fd048d4b080ea95c82b9456~mv2_d_4032_3024_s_4_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/1c6356_d2c1b5067fd048d4b080ea95c82b9456~mv2_d_4032_3024_s_4_2.jpg	C:/My%20Web%20Sites/asso/static.wixstatic.com/media/1c6356_d2c1b5067fd048d4b080ea95c82b9456_mv2_d_4/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/1c6356_d2c1b5067fd048d4b080ea95c82b9456_mv2_d_4032_3024_s_4_2.jpg	(from https://www.harenamanasoa.org/)
20:17:27	690673/690673	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:17:23%20GMT	https://www.harenamanasoa.org/blog	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/blog.html	(from https://www.harenamanasoa.org/)
20:17:27	4481/4481	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202023%2019:17:25%20GMT	https://static.wixstatic.com/media/1c6356_b72136fb312546258164ed459fd68faa~mv2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/1c6356_b72136fb312546258164ed459fd68faa~mv2.jpg	C:/My%20Web%20Sites/asso/static.wixstatic.com/media/1c6356_b72136fb312546258164ed459fd68faa_mv2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/1c6356_b72136fb312546258164ed459fd68faa_mv2.jpg	(from https://www.harenamanasoa.org/)
20:17:28	1330553/1330553	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:17:23%20GMT	https://www.harenamanasoa.org/video	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/video.html	(from https://www.harenamanasoa.org/)
20:17:28	2501/2501	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202023%2019:17:25%20GMT	https://static.wixstatic.com/media/4f5fedb53ead461dbfb92120d42ab67b.jpg/v1/fill/w_125,h_65,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/4f5fedb53ead461dbfb92120d42ab67b.jpg	C:/My%20Web%20Sites/asso/static.wixstatic.com/media/4f5fedb53ead461dbfb92120d42ab67b.jpg/v1/fill/w_125,h_65,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/4f5fedb53ead461dbfb92120d42ab67b.jpg	(from https://www.harenamanasoa.org/)
20:17:28	121638/121638	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202023%2019:17:25%20GMT	https://static.wixstatic.com/media/1c6356_c2ec9e957b3e4882a621bf0d7168c005~mv2.jpg/v1/fill/w_697,h_584,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/ECO-CANTINE%202019.jpg	C:/My%20Web%20Sites/asso/static.wixstatic.com/media/1c6356_c2ec9e957b3e4882a621bf0d7168c005_mv2.jpg/v1/fill/w_697,h_584,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/ECO-CANTINE%202019.jpg	(from https://www.harenamanasoa.org/)
20:17:28	3493/3493	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202023%2019:17:26%20GMT	https://static.wixstatic.com/media/54292e_68782c1961e542aca0f28ce5e12bcd36~mv2_d_4000_3000_s_4_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/54292e_68782c1961e542aca0f28ce5e12bcd36~mv2_d_4000_3000_s_4_2.jpg	C:/My%20Web%20Sites/asso/static.wixstatic.com/media/54292e_68782c1961e542aca0f28ce5e12bcd36_mv2_d_4/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/54292e_68782c1961e542aca0f28ce5e12bcd36_mv2_d_4000_3000_s_4_2.jpg	(from https://www.harenamanasoa.org/)
20:17:29	3773/3773	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202023%2019:17:26%20GMT	https://static.wixstatic.com/media/54292e_e8f6d120711c48e1b079e5862983aa30~mv2_d_4000_3000_s_4_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/54292e_e8f6d120711c48e1b079e5862983aa30~mv2_d_4000_3000_s_4_2.jpg	C:/My%20Web%20Sites/asso/static.wixstatic.com/media/54292e_e8f6d120711c48e1b079e5862983aa30_mv2_d_4/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2/54292e_e8f6d120711c48e1b079e5862983aa30_mv2_d_4000_3000_s_4_2.jpg	(from https://www.harenamanasoa.org/)
